run,type,module,name,attrname,attrvalue,value
Net1-0-20211213-20:11:41-3599,runattr,,,configname,Net1,
Net1-0-20211213-20:11:41-3599,runattr,,,datetime,20211213-20:11:41,
Net1-0-20211213-20:11:41-3599,runattr,,,experiment,Net1,
Net1-0-20211213-20:11:41-3599,runattr,,,inifile,omnetpp.ini,
Net1-0-20211213-20:11:41-3599,runattr,,,iterationvars,,
Net1-0-20211213-20:11:41-3599,runattr,,,iterationvarsf,,
Net1-0-20211213-20:11:41-3599,runattr,,,measurement,,
Net1-0-20211213-20:11:41-3599,runattr,,,network,Net,
Net1-0-20211213-20:11:41-3599,runattr,,,processid,3599,
Net1-0-20211213-20:11:41-3599,runattr,,,repetition,0,
Net1-0-20211213-20:11:41-3599,runattr,,,replication,#0,
Net1-0-20211213-20:11:41-3599,runattr,,,resultdir,results,
Net1-0-20211213-20:11:41-3599,runattr,,,runnumber,0,
Net1-0-20211213-20:11:41-3599,runattr,,,seedset,0,
Net1-0-20211213-20:11:41-3599,param,,,**.source1.avgInterArrivalTime,0.8s,
Net1-0-20211213-20:11:41-3599,param,,,**.mg1.L,0.5s,
Net1-0-20211213-20:11:41-3599,param,,,**.mg1.nbIntervals,1000,
Net1-0-20211213-20:11:41-3599,scalar,Net.mg1,queuingTimeInterval:999:mean,,,0.35685097132118
Net1-0-20211213-20:11:41-3599,attr,Net.mg1,queuingTimeInterval:999:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20211213-20:11:41-3599,scalar,Net.mg1,queuingTimeInterval:998:mean,,,0.35544962143217
Net1-0-20211213-20:11:41-3599,attr,Net.mg1,queuingTimeInterval:998:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20211213-20:11:41-3599,scalar,Net.mg1,queuingTimeInterval:997:mean,,,0.34547728878032
Net1-0-20211213-20:11:41-3599,attr,Net.mg1,queuingTimeInterval:997:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20211213-20:11:41-3599,scalar,Net.mg1,queuingTimeInterval:996:mean,,,0.35930679174361
Net1-0-20211213-20:11:41-3599,attr,Net.mg1,queuingTimeInterval:996:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20211213-20:11:41-3599,scalar,Net.mg1,queuingTimeInterval:995:mean,,,0.36286902853021
Net1-0-20211213-20:11:41-3599,attr,Net.mg1,queuingTimeInterval:995:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20211213-20:11:41-3599,scalar,Net.mg1,queuingTimeInterval:994:mean,,,0.35557812499363
Net1-0-20211213-20:11:41-3599,attr,Net.mg1,queuingTimeInterval:994:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20211213-20:11:41-3599,scalar,Net.mg1,queuingTimeInterval:993:mean,,,0.36415695805228
Net1-0-20211213-20:11:41-3599,attr,Net.mg1,queuingTimeInterval:993:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20211213-20:11:41-3599,scalar,Net.mg1,queuingTimeInterval:992:mean,,,0.32426445907988
Net1-0-20211213-20:11:41-3599,attr,Net.mg1,queuingTimeInterval:992:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20211213-20:11:41-3599,scalar,Net.mg1,queuingTimeInterval:991:mean,,,0.35070120360764
Net1-0-20211213-20:11:41-3599,attr,Net.mg1,queuingTimeInterval:991:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20211213-20:11:41-3599,scalar,Net.mg1,queuingTimeInterval:990:mean,,,0.3379305055117
Net1-0-20211213-20:11:41-3599,attr,Net.mg1,queuingTimeInterval:990:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20211213-20:11:41-3599,scalar,Net.mg1,queuingTimeInterval:989:mean,,,0.34367126376877
Net1-0-20211213-20:11:41-3599,attr,Net.mg1,queuingTimeInterval:989:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20211213-20:11:41-3599,scalar,Net.mg1,queuingTimeInterval:988:mean,,,0.35521477608153
Net1-0-20211213-20:11:41-3599,attr,Net.mg1,queuingTimeInterval:988:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20211213-20:11:41-3599,scalar,Net.mg1,queuingTimeInterval:987:mean,,,0.35219297562344
Net1-0-20211213-20:11:41-3599,attr,Net.mg1,queuingTimeInterval:987:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20211213-20:11:41-3599,scalar,Net.mg1,queuingTimeInterval:986:mean,,,0.3451058488476
Net1-0-20211213-20:11:41-3599,attr,Net.mg1,queuingTimeInterval:986:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20211213-20:11:41-3599,scalar,Net.mg1,queuingTimeInterval:985:mean,,,0.34618595788686
Net1-0-20211213-20:11:41-3599,attr,Net.mg1,queuingTimeInterval:985:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20211213-20:11:41-3599,scalar,Net.mg1,queuingTimeInterval:984:mean,,,0.34171926315997
Net1-0-20211213-20:11:41-3599,attr,Net.mg1,queuingTimeInterval:984:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20211213-20:11:41-3599,scalar,Net.mg1,queuingTimeInterval:983:mean,,,0.33156458683636
Net1-0-20211213-20:11:41-3599,attr,Net.mg1,queuingTimeInterval:983:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20211213-20:11:41-3599,scalar,Net.mg1,queuingTimeInterval:982:mean,,,0.35776700639364
Net1-0-20211213-20:11:41-3599,attr,Net.mg1,queuingTimeInterval:982:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20211213-20:11:41-3599,scalar,Net.mg1,queuingTimeInterval:981:mean,,,0.34802479635526
Net1-0-20211213-20:11:41-3599,attr,Net.mg1,queuingTimeInterval:981:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20211213-20:11:41-3599,scalar,Net.mg1,queuingTimeInterval:980:mean,,,0.34395922224315
Net1-0-20211213-20:11:41-3599,attr,Net.mg1,queuingTimeInterval:980:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20211213-20:11:41-3599,scalar,Net.mg1,queuingTimeInterval:979:mean,,,0.33377467568638
Net1-0-20211213-20:11:41-3599,attr,Net.mg1,queuingTimeInterval:979:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20211213-20:11:41-3599,scalar,Net.mg1,queuingTimeInterval:978:mean,,,0.33908261556935
Net1-0-20211213-20:11:41-3599,attr,Net.mg1,queuingTimeInterval:978:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20211213-20:11:41-3599,scalar,Net.mg1,queuingTimeInterval:977:mean,,,0.34123171534036
