run,type,module,name,attrname,attrvalue,value
Net1-0-20220109-20:54:47-1517,runattr,,,configname,Net1,
Net1-0-20220109-20:54:47-1517,runattr,,,datetime,20220109-20:54:47,
Net1-0-20220109-20:54:47-1517,runattr,,,experiment,Net1,
Net1-0-20220109-20:54:47-1517,runattr,,,inifile,omnetpp.ini,
Net1-0-20220109-20:54:47-1517,runattr,,,iterationvars,,
Net1-0-20220109-20:54:47-1517,runattr,,,iterationvarsf,,
Net1-0-20220109-20:54:47-1517,runattr,,,measurement,,
Net1-0-20220109-20:54:47-1517,runattr,,,network,Net,
Net1-0-20220109-20:54:47-1517,runattr,,,processid,1517,
Net1-0-20220109-20:54:47-1517,runattr,,,repetition,0,
Net1-0-20220109-20:54:47-1517,runattr,,,replication,#0,
Net1-0-20220109-20:54:47-1517,runattr,,,resultdir,results,
Net1-0-20220109-20:54:47-1517,runattr,,,runnumber,0,
Net1-0-20220109-20:54:47-1517,runattr,,,seedset,0,
Net1-0-20220109-20:54:47-1517,param,,,**.source1.avgInterArrivalTime,0.8s,
Net1-0-20220109-20:54:47-1517,param,,,**.mg1.L,0.5s,
Net1-0-20220109-20:54:47-1517,param,,,**.mg1.nbIntervals,1000,
Net1-0-20220109-20:54:47-1517,scalar,Net.mg1,queuingTimeInterval:999:mean,,,0.076544577580963
Net1-0-20220109-20:54:47-1517,attr,Net.mg1,queuingTimeInterval:999:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20220109-20:54:47-1517,scalar,Net.mg1,queuingTimeInterval:998:mean,,,0.080559035456182
Net1-0-20220109-20:54:47-1517,attr,Net.mg1,queuingTimeInterval:998:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20220109-20:54:47-1517,scalar,Net.mg1,queuingTimeInterval:997:mean,,,0.07852602694242
Net1-0-20220109-20:54:47-1517,attr,Net.mg1,queuingTimeInterval:997:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20220109-20:54:47-1517,scalar,Net.mg1,queuingTimeInterval:996:mean,,,0.072054721547589
Net1-0-20220109-20:54:47-1517,attr,Net.mg1,queuingTimeInterval:996:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20220109-20:54:47-1517,scalar,Net.mg1,queuingTimeInterval:995:mean,,,0.072273809198363
Net1-0-20220109-20:54:47-1517,attr,Net.mg1,queuingTimeInterval:995:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20220109-20:54:47-1517,scalar,Net.mg1,queuingTimeInterval:994:mean,,,0.079127254446518
Net1-0-20220109-20:54:47-1517,attr,Net.mg1,queuingTimeInterval:994:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20220109-20:54:47-1517,scalar,Net.mg1,queuingTimeInterval:993:mean,,,0.075459173521899
Net1-0-20220109-20:54:47-1517,attr,Net.mg1,queuingTimeInterval:993:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20220109-20:54:47-1517,scalar,Net.mg1,queuingTimeInterval:992:mean,,,0.075842158120428
Net1-0-20220109-20:54:47-1517,attr,Net.mg1,queuingTimeInterval:992:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20220109-20:54:47-1517,scalar,Net.mg1,queuingTimeInterval:991:mean,,,0.075449030011948
Net1-0-20220109-20:54:47-1517,attr,Net.mg1,queuingTimeInterval:991:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20220109-20:54:47-1517,scalar,Net.mg1,queuingTimeInterval:990:mean,,,0.075489529448913
Net1-0-20220109-20:54:47-1517,attr,Net.mg1,queuingTimeInterval:990:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20220109-20:54:47-1517,scalar,Net.mg1,queuingTimeInterval:989:mean,,,0.074082835427784
Net1-0-20220109-20:54:47-1517,attr,Net.mg1,queuingTimeInterval:989:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20220109-20:54:47-1517,scalar,Net.mg1,queuingTimeInterval:988:mean,,,0.078024701195332
Net1-0-20220109-20:54:47-1517,attr,Net.mg1,queuingTimeInterval:988:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20220109-20:54:47-1517,scalar,Net.mg1,queuingTimeInterval:987:mean,,,0.075467153170077
Net1-0-20220109-20:54:47-1517,attr,Net.mg1,queuingTimeInterval:987:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20220109-20:54:47-1517,scalar,Net.mg1,queuingTimeInterval:986:mean,,,0.078970294124918
Net1-0-20220109-20:54:47-1517,attr,Net.mg1,queuingTimeInterval:986:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20220109-20:54:47-1517,scalar,Net.mg1,queuingTimeInterval:985:mean,,,0.073350492199003
Net1-0-20220109-20:54:47-1517,attr,Net.mg1,queuingTimeInterval:985:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net1-0-20220109-20:54:47-1517,scalar,Net.mg1,queuingTimeInterval:984:mean,,,0.071957824643671
