run,type,module,name,attrname,attrvalue,value
Net2-0-20211222-14:57:24-1709,runattr,,,configname,Net2,
Net2-0-20211222-14:57:24-1709,runattr,,,datetime,20211222-14:57:24,
Net2-0-20211222-14:57:24-1709,runattr,,,experiment,Net2,
Net2-0-20211222-14:57:24-1709,runattr,,,inifile,omnetpp.ini,
Net2-0-20211222-14:57:24-1709,runattr,,,iterationvars,,
Net2-0-20211222-14:57:24-1709,runattr,,,iterationvarsf,,
Net2-0-20211222-14:57:24-1709,runattr,,,measurement,,
Net2-0-20211222-14:57:24-1709,runattr,,,network,Net,
Net2-0-20211222-14:57:24-1709,runattr,,,processid,1709,
Net2-0-20211222-14:57:24-1709,runattr,,,repetition,0,
Net2-0-20211222-14:57:24-1709,runattr,,,replication,#0,
Net2-0-20211222-14:57:24-1709,runattr,,,resultdir,results,
Net2-0-20211222-14:57:24-1709,runattr,,,runnumber,0,
Net2-0-20211222-14:57:24-1709,runattr,,,seedset,0,
Net2-0-20211222-14:57:24-1709,param,,,**.source1.avgInterArrivalTime,0.2s,
Net2-0-20211222-14:57:24-1709,param,,,**.mg1.L,0.5s,
Net2-0-20211222-14:57:24-1709,param,,,**.mg1.nbIntervals,1000,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:999:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:999:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:998:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:998:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:997:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:997:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:996:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:996:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:995:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:995:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:994:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:994:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:993:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:993:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:992:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:992:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:991:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:991:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:990:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:990:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:989:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:989:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:988:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:988:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:987:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:987:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:986:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:986:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:985:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:985:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:984:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:984:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:983:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:983:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:982:mean,,,4.917878577069
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:982:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:981:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:981:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:980:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:980:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:979:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:979:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:978:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:978:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:977:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:977:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:976:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:976:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:975:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:975:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:974:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:974:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:973:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:973:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:972:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:972:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:971:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:971:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:970:mean,,,NaN
Net2-0-20211222-14:57:24-1709,attr,Net.mg1,queuingTimeInterval:970:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20211222-14:57:24-1709,scalar,Net.mg1,queuingTimeInterval:969:mean,,,NaN
