run,type,module,name,attrname,attrvalue,value
Net2-0-20220109-21:01:51-2109,runattr,,,configname,Net2,
Net2-0-20220109-21:01:51-2109,runattr,,,datetime,20220109-21:01:51,
Net2-0-20220109-21:01:51-2109,runattr,,,experiment,Net2,
Net2-0-20220109-21:01:51-2109,runattr,,,inifile,omnetpp.ini,
Net2-0-20220109-21:01:51-2109,runattr,,,iterationvars,,
Net2-0-20220109-21:01:51-2109,runattr,,,iterationvarsf,,
Net2-0-20220109-21:01:51-2109,runattr,,,measurement,,
Net2-0-20220109-21:01:51-2109,runattr,,,network,Net,
Net2-0-20220109-21:01:51-2109,runattr,,,processid,2109,
Net2-0-20220109-21:01:51-2109,runattr,,,repetition,0,
Net2-0-20220109-21:01:51-2109,runattr,,,replication,#0,
Net2-0-20220109-21:01:51-2109,runattr,,,resultdir,results,
Net2-0-20220109-21:01:51-2109,runattr,,,runnumber,0,
Net2-0-20220109-21:01:51-2109,runattr,,,seedset,0,
Net2-0-20220109-21:01:51-2109,param,,,**.source1.avgInterArrivalTime,0.5s,
Net2-0-20220109-21:01:51-2109,param,,,**.mg1.L,0.5s,
Net2-0-20220109-21:01:51-2109,param,,,**.mg1.nbIntervals,1000,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:999:mean,,,0.34049486670493
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:999:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:998:mean,,,0.34829444156717
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:998:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:997:mean,,,0.33464780220648
Net2-0-20220109-21:01:51-2109,attr,Net.mg1,queuingTimeInterval:997:mean,title,Conditional queuing time template of class queuingTimeInterval,
Net2-0-20220109-21:01:51-2109,scalar,Net.mg1,queuingTimeInterval:996:mean,,,0.31899116595253
